**** The Simulator log: stage 2
0.0,OOP_Ex0_Elevator_Simulator
0.0,Simulated Building, ex0.simulator.Builging_A [-2,10]
0) ex0.simulator.Elevator_A, Elev_0, speed: 1.0, open/close: 2.0,  start/stop: 3.0
1) ex0.simulator.Elevator_A, Elev_1, speed: 1.0, open/close: 2.0,  start/stop: 3.0
0.0,Simulated Period starTime,0.0,  endTime,1000.0,  dt,1.0
0.0,Simulated  calls,Elevetor log, size: 100
0.0,**** Simulation starts!! ****
85.0, elevID,0,  pos,0,  cmd, goto,0
85.0, elevID,1,  pos,-1,  cmd, goto,-1
86.0,Elevator call,85.5209666204754,3,2,1,0, got allocated to elevator, 0
86.0, elevID,0,  pos,0,  cmd, goto,3
86.0, elevID,0,  pos,0,  cmd, stop,0
86.0, elevID,1,  pos,-1,  cmd, goto,-1
87.0, elevID,1,  pos,-1,  cmd, goto,-1
88.0, elevID,1,  pos,-1,  cmd, goto,-1
89.0, elevID,1,  pos,-1,  cmd, goto,-1
90.0, elevID,1,  pos,-1,  cmd, goto,-1
91.0, elevID,1,  pos,-1,  cmd, goto,-1
92.0,Elevator call,91.21019413453945,-1,-2,1,1, got allocated to elevator, 1
92.0,Elev,1,  arrived at src, -1, Elevator call,91.21019413453945,-1,-2,2,1
92.0, elevID,1,  pos,-1,  cmd, goto,-1
, elevID,1,  pos,-1,  WRONG cmd, stop,-1,  the elevator is not moving!
93.0, elevID,1,  pos,-1,  cmd, goto,-1
94.0, elevID,1,  pos,-1,  cmd, goto,-1
95.0, elevID,1,  pos,-1,  cmd, goto,-1
96.0, elevID,0,  pos,0,  cmd, goto,3
96.0, elevID,1,  pos,-1,  cmd, goto,-1
97.0, elevID,1,  pos,-1,  cmd, goto,-1
98.0, elevID,1,  pos,-1,  cmd, goto,-1
99.0, elevID,1,  pos,-1,  cmd, goto,-1
100.0, elevID,1,  pos,-1,  cmd, goto,-1
101.0, elevID,1,  pos,-1,  cmd, goto,-1
102.0, elevID,1,  pos,-1,  cmd, goto,-1
103.0, elevID,1,  pos,-1,  cmd, goto,-1
104.0, elevID,1,  pos,-1,  cmd, goto,-1
105.0,Elevator call,104.13701241869234,0,4,1,1, got allocated to elevator, 1
105.0, elevID,1,  pos,-1,  cmd, goto,0
105.0, elevID,1,  pos,-1,  cmd, stop,-1
109.0,Elev,0,  arrived at src, 3, Elevator call,85.5209666204754,3,2,2,0
109.0, elevID,0,  pos,3,  cmd, goto,3
110.0,Elevator call,109.21352909346587,-1,0,1,1, got allocated to elevator, 1
110.0, elevID,0,  pos,3,  cmd, goto,3
, elevID,1,  pos,-1,  WRONG cmd, stop,-1,  the elevator is not moving!
111.0, elevID,0,  pos,3,  cmd, goto,3
112.0, elevID,0,  pos,3,  cmd, goto,3
113.0, elevID,0,  pos,3,  cmd, goto,3
114.0, elevID,0,  pos,3,  cmd, goto,3
115.0,Elevator call,114.39235096774041,3,0,1,0, got allocated to elevator, 0
115.0,Elev,0,  arrived at src, 3, Elevator call,114.39235096774041,3,0,2,0
115.0, elevID,0,  pos,3,  cmd, goto,3
, elevID,0,  pos,3,  WRONG cmd, stop,3,  the elevator is not moving!
115.0,Elev,1,  arrived at src, -1, Elevator call,109.21352909346587,-1,0,2,1
115.0, elevID,1,  pos,-1,  cmd, goto,0
116.0, elevID,0,  pos,3,  cmd, goto,3
117.0, elevID,0,  pos,3,  cmd, goto,3
118.0, elevID,0,  pos,3,  cmd, goto,3
119.0, elevID,0,  pos,3,  cmd, goto,3
120.0, elevID,0,  pos,3,  cmd, goto,3
121.0, elevID,0,  pos,3,  cmd, goto,3
122.0, elevID,0,  pos,3,  cmd, goto,3
123.0, elevID,0,  pos,3,  cmd, goto,3
124.0, elevID,0,  pos,3,  cmd, goto,3
125.0,Elevator call,124.42557095980362,0,9,1,1, got allocated to elevator, 1
125.0, elevID,0,  pos,3,  cmd, goto,3
, elevID,1,  pos,0,  WRONG cmd, stop,0,  the elevator is not moving!
126.0, elevID,0,  pos,3,  cmd, goto,3
126.0,Elev,1,  arrived at dest, 0, this call is done!, Elevator call,16.957882888088932,-1,0,3,1, Done, dt, 109.04211711191107
126.0,Elev,1,  arrived at src, 0, Elevator call,104.13701241869234,0,4,2,1
126.0,Elev,1,  arrived at dest, 0, this call is done!, Elevator call,109.21352909346587,-1,0,3,1, Done, dt, 16.786470906534134
126.0,Elev,1,  arrived at src, 0, Elevator call,124.42557095980362,0,9,2,1
126.0, elevID,1,  pos,0,  cmd, goto,0
127.0, elevID,0,  pos,3,  cmd, goto,3
127.0, elevID,1,  pos,0,  cmd, goto,0
128.0, elevID,0,  pos,3,  cmd, goto,3
128.0, elevID,1,  pos,0,  cmd, goto,0
129.0, elevID,0,  pos,3,  cmd, goto,3
129.0, elevID,1,  pos,0,  cmd, goto,0
130.0, elevID,0,  pos,3,  cmd, goto,3
130.0, elevID,1,  pos,0,  cmd, goto,0
131.0,Elevator call,130.02495678190564,8,10,1,0, got allocated to elevator, 0
131.0,Elevator call,130.224911275492,-1,1,1,1, got allocated to elevator, 1
131.0, elevID,0,  pos,3,  cmd, goto,8
131.0, elevID,0,  pos,3,  cmd, stop,3
131.0, elevID,1,  pos,0,  cmd, goto,0
, elevID,1,  pos,0,  WRONG cmd, stop,-1,  the elevator is not moving!
132.0, elevID,1,  pos,0,  cmd, goto,0
133.0, elevID,1,  pos,0,  cmd, goto,0
134.0, elevID,1,  pos,0,  cmd, goto,0
135.0, elevID,1,  pos,0,  cmd, goto,0
136.0, elevID,1,  pos,0,  cmd, goto,0
137.0, elevID,1,  pos,0,  cmd, goto,0
138.0,Elevator call,137.9515274326701,0,4,1,1, got allocated to elevator, 1
138.0,Elev,1,  arrived at src, 0, Elevator call,137.9515274326701,0,4,2,1
138.0, elevID,1,  pos,0,  cmd, goto,0
, elevID,1,  pos,0,  WRONG cmd, stop,0,  the elevator is not moving!
139.0, elevID,1,  pos,0,  cmd, goto,0
140.0, elevID,1,  pos,0,  cmd, goto,0
141.0, elevID,0,  pos,3,  cmd, goto,8
141.0, elevID,1,  pos,0,  cmd, goto,0
142.0, elevID,1,  pos,0,  cmd, goto,0
143.0, elevID,1,  pos,0,  cmd, goto,0
144.0,Elevator call,143.91335838799415,0,6,1,1, got allocated to elevator, 1
144.0,Elev,1,  arrived at src, 0, Elevator call,143.91335838799415,0,6,2,1
144.0, elevID,1,  pos,0,  cmd, goto,0
, elevID,1,  pos,0,  WRONG cmd, stop,0,  the elevator is not moving!
145.0, elevID,1,  pos,0,  cmd, goto,0
146.0, elevID,1,  pos,0,  cmd, goto,0
147.0, elevID,1,  pos,0,  cmd, goto,0
148.0, elevID,1,  pos,0,  cmd, goto,0
149.0, elevID,1,  pos,0,  cmd, goto,0
150.0, elevID,1,  pos,0,  cmd, goto,0
151.0, elevID,1,  pos,0,  cmd, goto,0
152.0, elevID,1,  pos,0,  cmd, goto,0
153.0, elevID,1,  pos,0,  cmd, goto,0
154.0, elevID,1,  pos,0,  cmd, goto,0
155.0, elevID,1,  pos,0,  cmd, goto,0
156.0,Elev,0,  arrived at src, 8, Elevator call,130.02495678190564,8,10,2,0
156.0, elevID,0,  pos,8,  cmd, goto,8
156.0, elevID,1,  pos,0,  cmd, goto,0
157.0, elevID,0,  pos,8,  cmd, goto,8
157.0, elevID,1,  pos,0,  cmd, goto,0
158.0, elevID,0,  pos,8,  cmd, goto,8
158.0, elevID,1,  pos,0,  cmd, goto,0
159.0, elevID,0,  pos,8,  cmd, goto,8
159.0, elevID,1,  pos,0,  cmd, goto,0
160.0, elevID,0,  pos,8,  cmd, goto,8
160.0, elevID,1,  pos,0,  cmd, goto,0
161.0, elevID,0,  pos,8,  cmd, goto,8
161.0, elevID,1,  pos,0,  cmd, goto,0
162.0, elevID,0,  pos,8,  cmd, goto,8
162.0, elevID,1,  pos,0,  cmd, goto,0
163.0, elevID,0,  pos,8,  cmd, goto,8
163.0, elevID,1,  pos,0,  cmd, goto,0
164.0, elevID,0,  pos,8,  cmd, goto,8
164.0, elevID,1,  pos,0,  cmd, goto,0
165.0, elevID,0,  pos,8,  cmd, goto,8
165.0, elevID,1,  pos,0,  cmd, goto,0
166.0, elevID,0,  pos,8,  cmd, goto,8
166.0, elevID,1,  pos,0,  cmd, goto,0
167.0, elevID,0,  pos,8,  cmd, goto,8
167.0, elevID,1,  pos,0,  cmd, goto,0
168.0, elevID,0,  pos,8,  cmd, goto,8
168.0, elevID,1,  pos,0,  cmd, goto,0
169.0, elevID,0,  pos,8,  cmd, goto,8
169.0, elevID,1,  pos,0,  cmd, goto,0
170.0,Elevator call,169.78458339380109,-1,0,1,1, got allocated to elevator, 1
170.0, elevID,0,  pos,8,  cmd, goto,8
170.0, elevID,1,  pos,0,  cmd, goto,0
, elevID,1,  pos,0,  WRONG cmd, stop,-1,  the elevator is not moving!
171.0,Elevator call,170.0099620835246,0,6,1,1, got allocated to elevator, 1
171.0, elevID,0,  pos,8,  cmd, goto,8
171.0,Elev,1,  arrived at src, 0, Elevator call,170.0099620835246,0,6,2,1
171.0, elevID,1,  pos,0,  cmd, goto,0
, elevID,1,  pos,0,  WRONG cmd, stop,0,  the elevator is not moving!
172.0,Elevator call,171.21173315221364,-1,8,1,1, got allocated to elevator, 1
172.0, elevID,0,  pos,8,  cmd, goto,8
172.0, elevID,1,  pos,0,  cmd, goto,0
, elevID,1,  pos,0,  WRONG cmd, stop,-1,  the elevator is not moving!
173.0, elevID,0,  pos,8,  cmd, goto,8
173.0, elevID,1,  pos,0,  cmd, goto,0
174.0, elevID,0,  pos,8,  cmd, goto,8
174.0, elevID,1,  pos,0,  cmd, goto,0
175.0,Elevator call,174.84385152106802,0,-1,1,1, got allocated to elevator, 1
175.0, elevID,0,  pos,8,  cmd, goto,8
175.0,Elev,1,  arrived at src, 0, Elevator call,174.84385152106802,0,-1,2,1
175.0, elevID,1,  pos,0,  cmd, goto,0
, elevID,1,  pos,0,  WRONG cmd, stop,0,  the elevator is not moving!
176.0, elevID,0,  pos,8,  cmd, goto,8
176.0, elevID,1,  pos,0,  cmd, goto,0
177.0, elevID,0,  pos,8,  cmd, goto,8
177.0, elevID,1,  pos,0,  cmd, goto,0
178.0, elevID,0,  pos,8,  cmd, goto,8
178.0, elevID,1,  pos,0,  cmd, goto,0
179.0, elevID,0,  pos,8,  cmd, goto,8
179.0, elevID,1,  pos,0,  cmd, goto,0
180.0, elevID,0,  pos,8,  cmd, goto,8
180.0, elevID,1,  pos,0,  cmd, goto,0
181.0, elevID,0,  pos,8,  cmd, goto,8
181.0, elevID,1,  pos,0,  cmd, goto,0
182.0, elevID,0,  pos,8,  cmd, goto,8
182.0, elevID,1,  pos,0,  cmd, goto,0
183.0, elevID,0,  pos,8,  cmd, goto,8
183.0, elevID,1,  pos,0,  cmd, goto,0
184.0, elevID,0,  pos,8,  cmd, goto,8
184.0, elevID,1,  pos,0,  cmd, goto,0
185.0, elevID,0,  pos,8,  cmd, goto,8
185.0, elevID,1,  pos,0,  cmd, goto,0
186.0, elevID,0,  pos,8,  cmd, goto,8
186.0, elevID,1,  pos,0,  cmd, goto,0
187.0, elevID,0,  pos,8,  cmd, goto,8
187.0, elevID,1,  pos,0,  cmd, goto,0
188.0,Elevator call,187.11678617348463,-1,-2,1,1, got allocated to elevator, 1
188.0,Elevator call,187.7299317966884,-1,-2,1,1, got allocated to elevator, 1
188.0, elevID,0,  pos,8,  cmd, goto,8
188.0, elevID,1,  pos,0,  cmd, goto,0
, elevID,1,  pos,0,  WRONG cmd, stop,-1,  the elevator is not moving!
189.0, elevID,0,  pos,8,  cmd, goto,8
189.0, elevID,1,  pos,0,  cmd, goto,0
, elevID,1,  pos,0,  WRONG cmd, stop,-1,  the elevator is not moving!
190.0, elevID,0,  pos,8,  cmd, goto,8
190.0, elevID,1,  pos,0,  cmd, goto,0
191.0, elevID,0,  pos,8,  cmd, goto,8
191.0, elevID,1,  pos,0,  cmd, goto,0
192.0, elevID,0,  pos,8,  cmd, goto,8
192.0, elevID,1,  pos,0,  cmd, goto,0
193.0, elevID,0,  pos,8,  cmd, goto,8
193.0, elevID,1,  pos,0,  cmd, goto,0
194.0, elevID,0,  pos,8,  cmd, goto,8
194.0, elevID,1,  pos,0,  cmd, goto,0
195.0, elevID,0,  pos,8,  cmd, goto,8
195.0, elevID,1,  pos,0,  cmd, goto,0
196.0,Elevator call,195.90869649656992,0,7,1,1, got allocated to elevator, 1
196.0, elevID,0,  pos,8,  cmd, goto,8
196.0,Elev,1,  arrived at src, 0, Elevator call,195.90869649656992,0,7,2,1
196.0, elevID,1,  pos,0,  cmd, goto,0
, elevID,1,  pos,0,  WRONG cmd, stop,0,  the elevator is not moving!
197.0, elevID,0,  pos,8,  cmd, goto,8
197.0, elevID,1,  pos,0,  cmd, goto,0
198.0,Elevator call,197.5359191292572,-1,1,1,1, got allocated to elevator, 1
198.0, elevID,0,  pos,8,  cmd, goto,8
198.0, elevID,1,  pos,0,  cmd, goto,0
, elevID,1,  pos,0,  WRONG cmd, stop,-1,  the elevator is not moving!
199.0, elevID,0,  pos,8,  cmd, goto,8
199.0, elevID,1,  pos,0,  cmd, goto,0
200.0, elevID,0,  pos,8,  cmd, goto,8
200.0, elevID,1,  pos,0,  cmd, goto,0
201.0, elevID,0,  pos,8,  cmd, goto,8
201.0, elevID,1,  pos,0,  cmd, goto,0
202.0, elevID,0,  pos,8,  cmd, goto,8
202.0, elevID,1,  pos,0,  cmd, goto,0
203.0, elevID,0,  pos,8,  cmd, goto,8
203.0, elevID,1,  pos,0,  cmd, goto,0
204.0, elevID,0,  pos,8,  cmd, goto,8
204.0, elevID,1,  pos,0,  cmd, goto,0
205.0, elevID,0,  pos,8,  cmd, goto,8
205.0, elevID,1,  pos,0,  cmd, goto,0
206.0,Elevator call,205.9895199338651,-1,0,1,1, got allocated to elevator, 1
206.0, elevID,0,  pos,8,  cmd, goto,8
206.0, elevID,1,  pos,0,  cmd, goto,0
, elevID,1,  pos,0,  WRONG cmd, stop,-1,  the elevator is not moving!
207.0, elevID,0,  pos,8,  cmd, goto,8
207.0, elevID,1,  pos,0,  cmd, goto,0
208.0, elevID,0,  pos,8,  cmd, goto,8
208.0, elevID,1,  pos,0,  cmd, goto,0
209.0, elevID,0,  pos,8,  cmd, goto,8
209.0, elevID,1,  pos,0,  cmd, goto,0
210.0, elevID,0,  pos,8,  cmd, goto,8
210.0, elevID,1,  pos,0,  cmd, goto,0
211.0, elevID,0,  pos,8,  cmd, goto,8
211.0, elevID,1,  pos,0,  cmd, goto,0
212.0, elevID,0,  pos,8,  cmd, goto,8
212.0, elevID,1,  pos,0,  cmd, goto,0
213.0, elevID,0,  pos,8,  cmd, goto,8
213.0, elevID,1,  pos,0,  cmd, goto,0
214.0, elevID,0,  pos,8,  cmd, goto,8
214.0, elevID,1,  pos,0,  cmd, goto,0
215.0, elevID,0,  pos,8,  cmd, goto,8
215.0, elevID,1,  pos,0,  cmd, goto,0
216.0, elevID,0,  pos,8,  cmd, goto,8
216.0, elevID,1,  pos,0,  cmd, goto,0
217.0, elevID,0,  pos,8,  cmd, goto,8
217.0, elevID,1,  pos,0,  cmd, goto,0
218.0, elevID,0,  pos,8,  cmd, goto,8
218.0, elevID,1,  pos,0,  cmd, goto,0
219.0, elevID,0,  pos,8,  cmd, goto,8
219.0, elevID,1,  pos,0,  cmd, goto,0
220.0, elevID,0,  pos,8,  cmd, goto,8
220.0, elevID,1,  pos,0,  cmd, goto,0
221.0, elevID,0,  pos,8,  cmd, goto,8
221.0, elevID,1,  pos,0,  cmd, goto,0
222.0, elevID,0,  pos,8,  cmd, goto,8
222.0, elevID,1,  pos,0,  cmd, goto,0
223.0, elevID,0,  pos,8,  cmd, goto,8
223.0, elevID,1,  pos,0,  cmd, goto,0
224.0, elevID,0,  pos,8,  cmd, goto,8
224.0, elevID,1,  pos,0,  cmd, goto,0
225.0, elevID,0,  pos,8,  cmd, goto,8
225.0, elevID,1,  pos,0,  cmd, goto,0
226.0, elevID,0,  pos,8,  cmd, goto,8
226.0, elevID,1,  pos,0,  cmd, goto,0
227.0, elevID,0,  pos,8,  cmd, goto,8
227.0, elevID,1,  pos,0,  cmd, goto,0
228.0,Elevator call,227.0798304557929,-1,5,1,1, got allocated to elevator, 1
228.0, elevID,0,  pos,8,  cmd, goto,8
228.0, elevID,1,  pos,0,  cmd, goto,0
, elevID,1,  pos,0,  WRONG cmd, stop,-1,  the elevator is not moving!
229.0, elevID,0,  pos,8,  cmd, goto,8
229.0, elevID,1,  pos,0,  cmd, goto,0
230.0, elevID,0,  pos,8,  cmd, goto,8
230.0, elevID,1,  pos,0,  cmd, goto,0
231.0, elevID,0,  pos,8,  cmd, goto,8
231.0, elevID,1,  pos,0,  cmd, goto,0
232.0,Elevator call,231.51578817426258,-1,0,1,1, got allocated to elevator, 1
232.0, elevID,0,  pos,8,  cmd, goto,8
232.0, elevID,1,  pos,0,  cmd, goto,0
, elevID,1,  pos,0,  WRONG cmd, stop,-1,  the elevator is not moving!
233.0,Elevator call,232.95043623946805,0,-1,1,1, got allocated to elevator, 1
233.0, elevID,0,  pos,8,  cmd, goto,8
233.0,Elev,1,  arrived at src, 0, Elevator call,232.95043623946805,0,-1,2,1
233.0, elevID,1,  pos,0,  cmd, goto,0
, elevID,1,  pos,0,  WRONG cmd, stop,0,  the elevator is not moving!
234.0, elevID,0,  pos,8,  cmd, goto,8
234.0, elevID,1,  pos,0,  cmd, goto,0
235.0, elevID,0,  pos,8,  cmd, goto,8
235.0, elevID,1,  pos,0,  cmd, goto,0
236.0, elevID,0,  pos,8,  cmd, goto,8
236.0, elevID,1,  pos,0,  cmd, goto,0
237.0, elevID,0,  pos,8,  cmd, goto,8
237.0, elevID,1,  pos,0,  cmd, goto,0
238.0, elevID,0,  pos,8,  cmd, goto,8
238.0, elevID,1,  pos,0,  cmd, goto,0
239.0, elevID,0,  pos,8,  cmd, goto,8
239.0, elevID,1,  pos,0,  cmd, goto,0
240.0, elevID,0,  pos,8,  cmd, goto,8
240.0, elevID,1,  pos,0,  cmd, goto,0
241.0, elevID,0,  pos,8,  cmd, goto,8
241.0, elevID,1,  pos,0,  cmd, goto,0
242.0, elevID,0,  pos,8,  cmd, goto,8
242.0, elevID,1,  pos,0,  cmd, goto,0
243.0, elevID,0,  pos,8,  cmd, goto,8
243.0, elevID,1,  pos,0,  cmd, goto,0
244.0, elevID,0,  pos,8,  cmd, goto,8
244.0, elevID,1,  pos,0,  cmd, goto,0
245.0, elevID,0,  pos,8,  cmd, goto,8
245.0, elevID,1,  pos,0,  cmd, goto,0
246.0, elevID,0,  pos,8,  cmd, goto,8
246.0, elevID,1,  pos,0,  cmd, goto,0
247.0, elevID,0,  pos,8,  cmd, goto,8
247.0, elevID,1,  pos,0,  cmd, goto,0
248.0, elevID,0,  pos,8,  cmd, goto,8
248.0, elevID,1,  pos,0,  cmd, goto,0
249.0, elevID,0,  pos,8,  cmd, goto,8
249.0, elevID,1,  pos,0,  cmd, goto,0
250.0, elevID,0,  pos,8,  cmd, goto,8
250.0, elevID,1,  pos,0,  cmd, goto,0
251.0, elevID,0,  pos,8,  cmd, goto,8
251.0, elevID,1,  pos,0,  cmd, goto,0
252.0,Elevator call,251.10444690749756,-1,-2,1,1, got allocated to elevator, 1
252.0,Elevator call,251.23593354161653,0,9,1,1, got allocated to elevator, 1
252.0, elevID,0,  pos,8,  cmd, goto,8
252.0,Elev,1,  arrived at src, 0, Elevator call,251.23593354161653,0,9,2,1
252.0, elevID,1,  pos,0,  cmd, goto,0
, elevID,1,  pos,0,  WRONG cmd, stop,0,  the elevator is not moving!
253.0, elevID,0,  pos,8,  cmd, goto,8
253.0, elevID,1,  pos,0,  cmd, goto,0
, elevID,1,  pos,0,  WRONG cmd, stop,-1,  the elevator is not moving!
254.0, elevID,0,  pos,8,  cmd, goto,8
254.0, elevID,1,  pos,0,  cmd, goto,0
255.0,Elevator call,254.69771525200505,3,4,1,1, got allocated to elevator, 1
255.0, elevID,0,  pos,8,  cmd, goto,8
255.0, elevID,1,  pos,0,  cmd, goto,3
255.0, elevID,1,  pos,0,  cmd, stop,0
256.0, elevID,0,  pos,8,  cmd, goto,8
257.0, elevID,0,  pos,8,  cmd, goto,8
258.0,Elevator call,257.7974435335086,-1,0,1,1, got allocated to elevator, 1
258.0, elevID,0,  pos,8,  cmd, goto,8
, elevID,1,  pos,0,  WRONG cmd, stop,-1,  the elevator is not moving!
259.0, elevID,0,  pos,8,  cmd, goto,8
260.0, elevID,0,  pos,8,  cmd, goto,8
261.0, elevID,0,  pos,8,  cmd, goto,8
262.0, elevID,0,  pos,8,  cmd, goto,8
263.0, elevID,0,  pos,8,  cmd, goto,8
264.0, elevID,0,  pos,8,  cmd, goto,8
265.0, elevID,0,  pos,8,  cmd, goto,8
265.0, elevID,1,  pos,0,  cmd, goto,3
266.0, elevID,0,  pos,8,  cmd, goto,8
