**** All Elevator Calls (time,src,dest,state,elev dt) stage 6 ****
Elevator call,4.993816266014164,-3,27,3,0, Done, dt, 52.006183733985836
Elevator call,18.77917039169597,-4,-3,3,1, Done, dt, 22.22082960830403
Elevator call,19.387078657155826,0,14,3,2, Done, dt, 39.612921342844174
Elevator call,20.327517520632,0,-2,3,4, Done, dt, 27.672482479368
Elevator call,27.9999732565052,0,30,3,6, Done, dt, 55.0000267434948
Elevator call,29.917239624265676,0,7,3,8, Done, dt, 32.082760375734324
Elevator call,38.28582116015673,-1,45,3,3, Done, dt, 45.71417883984327
Elevator call,39.19202923931175,-1,2,3,5, Done, dt, 24.80797076068825
Elevator call,39.69710409736126,0,48,3,7, Done, dt, 47.30289590263874
Elevator call,49.43307426313186,0,-1,3,0, Done, dt, 55.56692573686814
Elevator call,54.196436787183075,-2,50,3,0, Done, dt, 123.80356321281693
Elevator call,57.40531969890162,-1,0,3,0, Done, dt, 192.59468030109838
Elevator call,63.05259875982824,-2,0,3,0, Done, dt, 186.94740124017176
Elevator call,79.37736411739434,0,41,3,2, Done, dt, 75.62263588260566
Elevator call,89.4285158976113,-2,28,3,6, Done, dt, 82.5714841023887
Elevator call,92.15048695301039,-4,19,3,7, Done, dt, 58.849513046989614
Elevator call,96.61997031673536,-2,45,3,3, Done, dt, 68.38002968326464
Elevator call,108.64204888088284,0,19,3,8, Done, dt, 46.35795111911716
Elevator call,111.62708145083661,-1,-3,3,3, Done, dt, 97.37291854916339
Elevator call,116.72069026135568,0,24,3,9, Done, dt, 35.279309738644315
Elevator call,117.93413927793131,0,16,3,1, Done, dt, 30.06586072206869
Elevator call,133.34539591368775,-4,23,3,0, Done, dt, 177.65460408631225
Elevator call,134.00355801094793,-2,25,3,0, Done, dt, 248.99644198905207
Elevator call,140.52095248879914,-3,28,3,0, Done, dt, 321.47904751120086
Elevator call,142.07808960138755,-4,1,3,0, Done, dt, 376.92191039861245
Elevator call,146.76293294989182,0,27,3,0, Done, dt, 420.2370670501082
Elevator call,147.44392615224183,-3,33,3,0, Done, dt, 505.55607384775817
Elevator call,151.6163012890247,-3,3,3,0, Done, dt, 563.3836987109753
Elevator call,159.17766514162577,0,26,3,2, Done, dt, 87.82233485837423
Elevator call,170.15712188664338,-2,42,3,0, Done, dt, 613.8428781133566
Elevator call,173.25392580462358,1,3,3,0, Done, dt, 541.7460741953764
Elevator call,174.91394871323018,-1,31,3,0, Done, dt, 714.0860512867698
Elevator call,177.9146689591314,0,8,3,0, Done, dt, 770.0853310408686
Elevator call,179.41211574761928,0,48,3,0, Done, dt, 844.5878842523807
Elevator call,188.69360223337299,-2,-3,3,0, Done, dt, 232.30639776662701
Elevator call,197.44243298068636,-3,38,3,0, Done, dt, 948.5575670193136
Elevator call,202.63061730226673,0,42,3,0, Done, dt, 581.3693826977333
Elevator call,203.2352417416962,-4,25,3,0, Done, dt, 179.7647582583038
Elevator call,209.35081553255895,13,-1,3,4, Done, dt, 49.649184467441046
Elevator call,209.97850155767696,-1,29,3,6, Done, dt, 79.02149844232304
Elevator call,210.90630526255882,12,0,3,6, Done, dt, 127.09369473744118
Elevator call,211.32931870336074,0,29,3,8, Done, dt, 68.67068129663926
Elevator call,217.22290993535717,-4,11,3,0, Done, dt, 1016.7770900646428
Elevator call,218.07434462591186,26,44,3,4, Done, dt, 105.92565537408814
Elevator call,219.81598778407965,-4,5,3,0, Done, dt, 1058.1840122159203
Elevator call,220.76873550670848,31,-1,3,0, Done, dt, 1135.2312644932915
Elevator call,224.31198381778677,-2,-3,3,6, Done, dt, 136.68801618221323
Elevator call,231.56651879541005,22,33,3,3, Done, dt, 39.43348120458995
Elevator call,238.4981901010815,0,-1,3,9, Done, dt, 33.50180989891851
Elevator call,249.14578168308412,0,39,3,2, Done, dt, 85.85421831691588
Elevator call,249.47153929844012,-2,0,3,2, Done, dt, 148.52846070155988
Elevator call,254.50344330296275,-1,10,3,3, Done, dt, 59.49655669703725
Elevator call,255.11453151297678,-2,2,3,7, Done, dt, 33.88546848702322
Elevator call,257.29849213037915,-1,-4,3,2, Done, dt, 164.70150786962085
Elevator call,260.38349181826743,-4,31,3,1, Done, dt, 48.61650818173257
Elevator call,266.894697015759,47,-2,3,0, Done, dt, 1206.105302984241
Elevator call,270.3465008526289,-1,-2,3,2, Done, dt, 175.65349914737112
Elevator call,272.4308393782785,-4,46,3,5, Done, dt, 48.569160621721494
Elevator call,278.80736100021363,-2,47,3,9, Done, dt, 46.19263899978637
Elevator call,285.4590041763097,-1,49,3,8, Done, dt, 100.54099582369031
Elevator call,299.06238686043775,-4,31,3,0, Done, dt, 589.9376131395622
Elevator call,303.5884504315734,-1,24,3,0, Done, dt, 1229.4115495684266
Elevator call,305.1612056606798,-4,11,3,0, Done, dt, 928.8387943393202
Elevator call,307.17728820035336,-1,22,3,0, Done, dt, 1309.8227117996466
Elevator call,310.1052389352092,20,-1,3,7, Done, dt, 40.89476106479083
Elevator call,310.2471597613528,-3,41,3,0, Done, dt, 1395.7528402386472
Elevator call,310.43660083151826,12,-2,3,1, Done, dt, 37.56339916848174
Elevator call,310.65895693179937,0,-2,3,0, Done, dt, 419.34104306820063
Elevator call,314.465693673799,-4,-2,3,0, Done, dt, 415.534306326201
Elevator call,318.63880157220933,-2,4,3,0, Done, dt, 1480.3611984277907
Elevator call,326.58639638472255,-3,0,3,4, Done, dt, 70.41360361527745
Elevator call,334.8964002994919,-2,3,3,2, Done, dt, 127.10359970050808
Elevator call,338.34551095760867,-4,19,3,9, Done, dt, 58.65448904239133
